PO,Id Unico de Pago,Remesa,Orden de Pago
97CB2500-ABD7-4B89-B307-C7A019853483,97CB2500-ABD7-4B89-B307-C7A019853483,Remesa-8212536,Orden de Pago-8295677
2AB069EA-4886-4284-9572-0A74488C4391,2AB069EA-4886-4284-9572-0A74488C4391,Remesa-8212540,Orden de Pago-8295681
48CA0B70-067E-4A86-BC4C-FF441BC096ED,48CA0B70-067E-4A86-BC4C-FF441BC096ED,Remesa-8212542,Orden de Pago-8295683
D94AE385-A319-4EC6-A40C-F1F45EF6D25D,D94AE385-A319-4EC6-A40C-F1F45EF6D25D,Remesa-8212565,Orden de Pago-8295706
CE67AF04-56D6-4E7B-8EAD-0A118DC1E7CA,CE67AF04-56D6-4E7B-8EAD-0A118DC1E7CA,Remesa-8212577,Orden de Pago-8295718
290B342C-287D-4EAA-B85F-EF925DEBF5DC,290B342C-287D-4EAA-B85F-EF925DEBF5DC,Remesa-8212580,Orden de Pago-8295721
37161DEC-44DC-4518-A53E-5D1090558A34,37161DEC-44DC-4518-A53E-5D1090558A34,Remesa-8212592,Orden de Pago-8295735
1CF04449-FFD0-4EB8-B024-956A5C168C44,1CF04449-FFD0-4EB8-B024-956A5C168C44,Remesa-8212602,Orden de Pago-8295745
A1C99DF6-DE1B-46F1-9365-330385496344,A1C99DF6-DE1B-46F1-9365-330385496344,Remesa-8212608,Orden de Pago-8295751
552FD56B-780A-43BE-B552-E129C2083C3B,552FD56B-780A-43BE-B552-E129C2083C3B,Remesa-8212610,Orden de Pago-8295753
66413BF6-C5F5-4657-B6FE-A83F84DD97CE,66413BF6-C5F5-4657-B6FE-A83F84DD97CE,Remesa-8212617,Orden de Pago-8295760
3FF5FD9C-FA19-4097-9A48-557D8C01B379,3FF5FD9C-FA19-4097-9A48-557D8C01B379,Remesa-8212635,Orden de Pago-8295780
76A4A01F-3F7A-45A5-BC88-C10A1A26F7E7,76A4A01F-3F7A-45A5-BC88-C10A1A26F7E7,Remesa-8212643,Orden de Pago-8295787
A2748A85-9C08-47BF-8052-69FD3EFB6A6D,A2748A85-9C08-47BF-8052-69FD3EFB6A6D,Remesa-8212659,Orden de Pago-8295805
DFAA4C29-0F00-44ED-9EF8-20CB2BDCD80C,DFAA4C29-0F00-44ED-9EF8-20CB2BDCD80C,Remesa-8212663,Orden de Pago-8295809
39E12CF6-B3F4-43F3-ACA8-610DFBBCA3C7,39E12CF6-B3F4-43F3-ACA8-610DFBBCA3C7,Remesa-8212666,Orden de Pago-8295812
9E65D9C2-0DFD-4AA1-B367-0FC2551B097F,9E65D9C2-0DFD-4AA1-B367-0FC2551B097F,Remesa-8212682,Orden de Pago-8295828
EE9ADA84-55FC-4EE5-ABE3-0A2C1E25748E,EE9ADA84-55FC-4EE5-ABE3-0A2C1E25748E,Remesa-8212683,Orden de Pago-8295829
75A7FB94-40A5-43CB-9CD2-818AB1AFE6E0,75A7FB94-40A5-43CB-9CD2-818AB1AFE6E0,Remesa-8212691,Orden de Pago-8295837
5206F089-FE42-4AF8-8CE3-184F15712B9A,5206F089-FE42-4AF8-8CE3-184F15712B9A,Remesa-8212695,Orden de Pago-8295841
F7E62356-A48F-4B49-B363-7CE229750BAD,F7E62356-A48F-4B49-B363-7CE229750BAD,Remesa-8212717,Orden de Pago-8295863
D78800C6-0207-40FC-AFDA-6786A05502DF,D78800C6-0207-40FC-AFDA-6786A05502DF,Remesa-8212720,Orden de Pago-8295866
CC0DD3DA-268C-49AE-A27B-4ED89600BE71,CC0DD3DA-268C-49AE-A27B-4ED89600BE71,Remesa-8212732,Orden de Pago-8295878
481B8F62-815B-480F-B5EC-A033FFE05020,481B8F62-815B-480F-B5EC-A033FFE05020,Remesa-8212737,Orden de Pago-8295883
53B8CAB2-2692-4493-9104-ED3423A15371,53B8CAB2-2692-4493-9104-ED3423A15371,Remesa-8212748,Orden de Pago-8295895
7FE345E4-BCA9-4A61-8176-00D1752A9DFD,7FE345E4-BCA9-4A61-8176-00D1752A9DFD,Remesa-8212769,Orden de Pago-8295915
2B3042A2-4A63-4E99-B5D6-F0F9E9D949F9,2B3042A2-4A63-4E99-B5D6-F0F9E9D949F9,Remesa-8212785,Orden de Pago-8295931
78860B58-3A6B-406F-9A0E-627226BA8F40,78860B58-3A6B-406F-9A0E-627226BA8F40,Remesa-8212800,Orden de Pago-8295946
59D0C316-596F-4A2B-BA14-2BB8A942F0E7,59D0C316-596F-4A2B-BA14-2BB8A942F0E7,Remesa-8212805,Orden de Pago-8295951
891EAA7B-3CA0-4D1F-9008-FFABC231F0CF,891EAA7B-3CA0-4D1F-9008-FFABC231F0CF,Remesa-8212844,Orden de Pago-8295991
7DFD2BB7-2172-414C-AAF7-280C56C3AF08,7DFD2BB7-2172-414C-AAF7-280C56C3AF08,Remesa-8212848,Orden de Pago-8295995
1FAC168E-EE43-4149-8D13-177DBEBD0D72,1FAC168E-EE43-4149-8D13-177DBEBD0D72,Remesa-8212849,Orden de Pago-8295996
C7DBEBF4-F599-4122-8270-C0718C6F58F9,C7DBEBF4-F599-4122-8270-C0718C6F58F9,Remesa-8212853,Orden de Pago-8296000
687086C6-CEB8-45F3-A71B-67472C2EB855,687086C6-CEB8-45F3-A71B-67472C2EB855,Remesa-8212855,Orden de Pago-8296003
3CEBED2B-97F0-46A7-99ED-08911A86828C,3CEBED2B-97F0-46A7-99ED-08911A86828C,Remesa-8212857,Orden de Pago-8296004
7D23A8E3-7460-4D9C-8856-B6CDC5519B72,7D23A8E3-7460-4D9C-8856-B6CDC5519B72,Remesa-8212864,Orden de Pago-8296011
25C44539-9E2E-4BE9-9536-1EDE662DCFD6,25C44539-9E2E-4BE9-9536-1EDE662DCFD6,Remesa-8212868,Orden de Pago-8296015
9139DEC1-C31C-42E7-83EC-FD19C20CB8A3,9139DEC1-C31C-42E7-83EC-FD19C20CB8A3,Remesa-8212870,Orden de Pago-8296017
8B988FC2-6149-41BB-AD52-B39C78BFDEF8,8B988FC2-6149-41BB-AD52-B39C78BFDEF8,Remesa-8212875,Orden de Pago-8296022
B95CCAD2-E28A-47A5-9D0D-30AABE8A2103,B95CCAD2-E28A-47A5-9D0D-30AABE8A2103,Remesa-8212876,Orden de Pago-8296023
507213B7-F702-4648-97D6-4C1DBF7B850A,507213B7-F702-4648-97D6-4C1DBF7B850A,Remesa-8212881,Orden de Pago-8296028
07FC07E2-7C49-4F13-B3E0-42FD47C1603D,07FC07E2-7C49-4F13-B3E0-42FD47C1603D,Remesa-8212883,Orden de Pago-8296030
BDC17AF8-7392-4A7C-BDBE-F46D9D9F612A,BDC17AF8-7392-4A7C-BDBE-F46D9D9F612A,Remesa-8212884,Orden de Pago-8296031
